agency_id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_network
hkir_V-13657,hkir_V-13657-H-3-1,1,Kenessey Kórház - Bajcsy út - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-1A,1A,Vasútállomás - Madách L. - Kenessey Kórház,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-1B,1B,Kenessey Kórház - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-2,2,Autóbusz-állomás - Kis posta - Ruhagyár - Volán telep,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-2A,2A,Autóbusz-állomás - Kis posta - Ruhagyár - Volán telep,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-3,3,Kábelgyár - Huszár Aladár út - Ruhagyár,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-3A,3A,Bremas Kft - Vasútállomás - Ruhagyár - Szabó L. iskola,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-3B,3B,Vasútállomás - Szabó L. iskola,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-4,4,Kenessey Kórház - Bremas Kft,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-4A,4A,Kenessey Kórház - Bremas Kft,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-5,5,Kenessey Kórház - Madách L. - Ruhagyár - Veres Pálné út - Kenessey Kórház,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-5A,5A,Autóbusz-állomás - Vasútállomás - Kábelgyár - Madách L. Ruhagyár - Veres Pálné út - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-6,6,Kenessey Kórház - Hétvezér út - Huszár A. út,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-6A,6A,Kenessey Kórház - Hétvezér út - Huszár A. út,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-6B,6B,Kenessey Kórház - Hétvezér út - Huszár A. út,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-6C,6C,Kenessey Kórház - Hétvezér út - Huszár A. út,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-7,7,Kenessey Kórház - Madách L. - Ruhagyár - Kossuth út - Kenessey Kórház,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-7A,7A,Kenessey Kórház - Kossúth út - Huszár A. út,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-7B,7B,Civitas Fortissima tér - Szabó L. iskola,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-8,8,Autóbusz-állomás - Arany J.út - Május 1. - út - Ruhagyár - Madách L. - Kenessey Kórház,3,,152B32,FFFFFF,local
hkir_V-13657,hkir_V-13657-H-3-8A,8A,Autóbusz-állomás - Arany J. út - Szabó L. iskola - Szügyi út - MAHLE KFT,3,,152B32,FFFFFF,local
